"","start_date","average_audience"
"1",2012-10-01,59415.44
"2",2012-10-02,50610.828
"3",2012-10-03,54071.607
"4",2012-10-04,41526.135
"5",2012-10-05,37436.149
"6",2012-10-06,31041.442
"7",2012-10-07,86616.769
"8",2012-10-08,71410.052
"9",2012-10-09,55108.503
"10",2012-10-10,45038.856
"11",2012-10-11,48983.837
"12",2012-10-12,39947.938
"13",2012-10-13,38442.064
"14",2012-10-14,89340.785
"15",2012-10-15,9780.926
"16",2012-10-16,0
"17",2012-10-17,0
"18",2012-10-18,0
"19",2012-10-19,0
"20",2012-10-20,0
"21",2012-10-21,0
"22",2012-10-22,64256.474
"23",2012-10-23,55184.984
"24",2012-10-24,46617.814
"25",2012-10-25,48393.685
"26",2012-10-26,45916.604
"27",2012-10-27,28194.317
"28",2012-10-28,83983.128
"29",2012-10-29,99858.704
"30",2012-10-30,82824.711
"31",2012-10-31,53337.067
"32",2012-11-01,47775.846
"33",2012-11-02,47118.411
"34",2012-11-03,46609.501
"35",2012-11-04,97481.634
"36",2012-11-05,73881.474
"37",2012-11-06,90725.975
"38",2012-11-07,83376.65
"39",2012-11-08,55718.119
"40",2012-11-09,43609.831
"41",2012-11-10,27248.49
"42",2012-11-11,91031.553
"43",2012-11-12,73420.316
"44",2012-11-13,58698.601
"45",2012-11-14,47925.034
"46",2012-11-15,43953.453
"47",2012-11-16,42836.047
"48",2012-11-17,29184.112
"49",2012-11-18,82362.655
"50",2012-11-19,65332.243
"51",2012-11-20,52878.158
"52",2012-11-21,42865.077
"53",2012-11-22,148379.545
"54",2012-11-23,47833.022
"55",2012-11-24,28271.221
"56",2012-11-25,82889.881
"57",2012-11-26,69639.541
"58",2012-11-27,55270.832
"59",2012-11-28,54754.9
"60",2012-11-29,43278.915
"61",2012-11-30,39535.57
"62",2012-12-01,27326.568
"63",2012-12-02,86191.216
"64",2012-12-03,65845.295
"65",2012-12-04,53486.848
"66",2012-12-05,45916.73
"67",2012-12-06,41391.927
"68",2012-12-07,43617.604
"69",2012-12-08,25164.087
"70",2012-12-09,90472.51
"71",2012-12-10,63693.264
"72",2012-12-11,55846.328
"73",2012-12-12,44098.259
"74",2012-12-13,41418.871
"75",2012-12-14,51766.761
"76",2012-12-15,30291.748
"77",2012-12-16,98774.343
"78",2012-12-17,67525.72
"79",2012-12-18,67832.195
"80",2012-12-19,50571.342
"81",2012-12-20,45688.237
"82",2012-12-21,39698.48
"83",2012-12-22,25892.533
"84",2012-12-23,74411.855
"85",2012-12-24,46437.533
"86",2012-12-25,33578.279
"87",2012-12-26,45939.002
"88",2012-12-27,38699.17
"89",2012-12-28,44560.024
"90",2012-12-29,25153.229
"91",2012-12-30,109658.998
"92",2012-12-31,51554.37
"93",2013-01-01,55097.86
"94",2013-01-02,49850.323
"95",2013-01-03,41332.622
"96",2013-01-04,42286.756
"97",2013-01-05,169794.721
"98",2013-01-06,51437.231
"99",2013-01-07,51852.935
"100",2013-01-08,49649.097
"101",2013-01-09,52844.925
"102",2013-01-10,49711.875
"103",2013-01-11,41661.091
"104",2013-01-12,23766.222
"105",2013-01-13,69533.797
"106",2013-01-14,55415.097
"107",2013-01-15,53176.396
"108",2013-01-16,44688.973
"109",2013-01-17,46903.329
"110",2013-01-18,42397.08
"111",2013-01-19,34420.506
"112",2013-01-20,35741.347
"113",2013-01-21,61336.279
"114",2013-01-22,49091.09
"115",2013-01-23,42739.733
"116",2013-01-24,45961.802
"117",2013-01-25,46314.767
"118",2013-01-26,28930.51
"119",2013-01-27,62872.843
"120",2013-01-28,53230.444
"121",2013-01-29,47444.539
"122",2013-01-30,54752.235
"123",2013-01-31,49521.035
"124",2013-02-01,43168.748
"125",2013-02-02,29481.453
"126",2013-02-03,33331.433
"127",2013-02-04,48916.888
"128",2013-02-05,46582.898
"129",2013-02-06,47490.225
"130",2013-02-07,49165.014
"131",2013-02-08,50393.127
"132",2013-02-09,34704.806
"133",2013-02-10,37922.383
"134",2013-02-11,49499.352
"135",2013-02-12,46138.49
"136",2013-02-13,45740.901
"137",2013-02-14,45577.981
"138",2013-02-15,43062.307
"139",2013-02-16,29500.446
"140",2013-02-17,44113.025
"141",2013-02-18,49044.091
"142",2013-02-19,44714.215
"143",2013-02-20,50735.897
"144",2013-02-21,49004.4
"145",2013-02-22,47207.417
"146",2013-02-23,29296.971
"147",2013-02-24,30398.237
"148",2013-02-25,50527.863
"149",2013-02-26,43565.856
"150",2013-02-27,48818.219
"151",2013-02-28,41338.404
"152",2013-03-01,41463.123
"153",2013-03-02,27201.011
"154",2013-03-03,44987.756
"155",2013-03-04,47331.961
"156",2013-03-05,40717.638
"157",2013-03-06,46207.266
"158",2013-03-07,41648.916
"159",2013-03-08,41397.701
"160",2013-03-09,31081.187
"161",2013-03-10,49874.499
"162",2013-03-11,45231.522
"163",2013-03-12,37524.64
"164",2013-03-13,40025.547
"165",2013-03-14,40698.303
"166",2013-03-15,38302.797
"167",2013-03-16,25640.241
"168",2013-03-17,42672.41
"169",2013-03-18,51052.123
"170",2013-03-19,39032.767
"171",2013-03-20,42811.703
"172",2013-03-21,40937.961
"173",2013-03-22,39004.107
"174",2013-03-23,25602.878
"175",2013-03-24,35603.965
"176",2013-03-25,66096.233
"177",2013-03-26,49793.53
"178",2013-03-27,44296.636
"179",2013-03-28,36703.372
"180",2013-03-29,37164.83
"181",2013-03-30,25123.066
"182",2013-03-31,34513.06
"183",2013-04-01,61623.072
"184",2013-04-02,51827.192
"185",2013-04-03,44574.251
"186",2013-04-04,44529.264
"187",2013-04-05,37492.396
"188",2013-04-06,27529.364
"189",2013-04-07,40921.62
"190",2013-04-08,64457.846
"191",2013-04-09,54518.436
"192",2013-04-10,41318.242
"193",2013-04-11,46662.691
"194",2013-04-12,38234.456
"195",2013-04-13,24370.198
"196",2013-04-14,39394.322
"197",2013-04-15,76504.867
"198",2013-04-16,58235.671
"199",2013-04-17,45791.75
"200",2013-04-18,47759.1
"201",2013-04-19,67811.74
"202",2013-04-20,30174.943
"203",2013-04-21,33796.909
"204",2013-04-22,64142.612
"205",2013-04-23,53409.305
"206",2013-04-24,44913.462
"207",2013-04-25,41595.103
"208",2013-04-26,39738.963
"209",2013-04-27,25286.496
"210",2013-04-28,33212.643
"211",2013-04-29,59863.39
"212",2013-04-30,56279.613
"213",2013-05-01,44601.68
"214",2013-05-02,43269.229
"215",2013-05-03,38187.116
"216",2013-05-04,41991.076
"217",2013-05-05,42842.612
"218",2013-05-06,60979.662
"219",2013-05-07,58494.16
"220",2013-05-08,53717.201
"221",2013-05-09,47928.579
"222",2013-05-10,38924.831
"223",2013-05-11,32380.828
"224",2013-05-12,49870.225
"225",2013-05-13,57435.295
"226",2013-05-14,53378.955
"227",2013-05-15,47197.772
"228",2013-05-16,50558.029
"229",2013-05-17,41470.619
"230",2013-05-18,36436.979
"231",2013-05-19,41423.22
"232",2013-05-20,56353.203
"233",2013-05-21,55790.385
"234",2013-05-22,47567.127
"235",2013-05-23,39724.992
"236",2013-05-24,39058.323
"237",2013-05-25,27440.447
"238",2013-05-26,22126.264
"239",2013-05-27,46454.934
"240",2013-05-28,46899.976
"241",2013-05-29,43427.699
"242",2013-05-30,38968.188
"243",2013-05-31,39985.562
"244",2013-06-01,29863.056
"245",2013-06-02,27265.06
"246",2013-06-03,52220.06
"247",2013-06-04,56835.988
"248",2013-06-05,42802.048
"249",2013-06-06,37695.059
"250",2013-06-07,39023.385
"251",2013-06-08,32447.401
"252",2013-06-09,31611.401
"253",2013-06-10,54042.072
"254",2013-06-11,59296.983
"255",2013-06-12,55595.605
"256",2013-06-13,41857.294
"257",2013-06-14,36471.893
"258",2013-06-15,36445.965
"259",2013-06-16,57512.824
"260",2013-06-17,55792.649
"261",2013-06-18,63204.954
"262",2013-06-19,51083.457
"263",2013-06-20,34123.717
"264",2013-06-21,35335.238
"265",2013-06-22,31836.459
"266",2013-06-23,24972.853
"267",2013-06-24,57145.37
"268",2013-06-25,49642.817
"269",2013-06-26,41930.456
"270",2013-06-27,36408.06
"271",2013-06-28,39984.999
"272",2013-06-29,20504.306
"273",2013-06-30,24699.33
"274",2013-07-01,41991.472
"275",2013-07-02,46129.153
"276",2013-07-03,37673.148
"277",2013-07-04,36895.574
"278",2013-07-05,36135.529
"279",2013-07-06,19883.492
"280",2013-07-07,26465.626
"281",2013-07-08,39410.126
"282",2013-07-09,46190.305
"283",2013-07-10,46219.608
"284",2013-07-11,38654.461
"285",2013-07-12,34377.117
"286",2013-07-13,18624.066
"287",2013-07-14,26371.515
"288",2013-07-15,38866.786
"289",2013-07-16,45098.226
"290",2013-07-17,46552.3
"291",2013-07-18,36616.266
"292",2013-07-19,36607.172
"293",2013-07-20,20385.73
"294",2013-07-21,24746.755
"295",2013-07-22,39962.408
"296",2013-07-23,49756.105
"297",2013-07-24,43955.656
"298",2013-07-25,37982.424
"299",2013-07-26,35174.123
"300",2013-07-27,23703.711
"301",2013-07-28,24538.861
"302",2013-07-29,39968.193
"303",2013-07-30,48489.843
"304",2013-07-31,43853.511
"305",2013-08-01,38381.514
"306",2013-08-02,33963.6
"307",2013-08-03,21537.437
"308",2013-08-04,49939.841
"309",2013-08-05,38677.126
"310",2013-08-06,45958.074
"311",2013-08-07,44802.539
"312",2013-08-08,41178.212
"313",2013-08-09,38671.405
"314",2013-08-10,24109.185
"315",2013-08-11,25499.812
"316",2013-08-12,37612.802
"317",2013-08-13,47636.069
"318",2013-08-14,39628.281
"319",2013-08-15,38207.658
"320",2013-08-16,36984.235
"321",2013-08-17,23093.184
"322",2013-08-18,22672.284
"323",2013-08-19,39306.561
"324",2013-08-20,44086.53
"325",2013-08-21,41554.131
"326",2013-08-22,37888.505
"327",2013-08-23,34217.125
"328",2013-08-24,25168.77
"329",2013-08-25,37368.369
"330",2013-08-26,38906.605
"331",2013-08-27,45600.876
"332",2013-08-28,42089.083
"333",2013-08-29,42426.804
"334",2013-08-30,38116.938
"335",2013-08-31,31497.158
"336",2013-09-01,28061.047
"337",2013-09-02,37432.192
"338",2013-09-03,45968.042
"339",2013-09-04,44334.053
"340",2013-09-05,128961.939
"341",2013-09-06,63888.505
"342",2013-09-07,23760.021
"343",2013-09-08,106419.79
"344",2013-09-09,52195.943
"345",2013-09-10,50769.601
"346",2013-09-11,44995.976
"347",2013-09-12,41508.025
"348",2013-09-13,41583.85
"349",2013-09-14,27722.893
"350",2013-09-15,93076.164
"351",2013-09-16,59102.555
"352",2013-09-17,48946.698
"353",2013-09-18,51121.01
"354",2013-09-19,45160.563
